"Plot Title: 21504856"
40.800562,-77.867688
"#","Date","Time, GMT-04:00","Temp, °C (LGR S/N: 21504856, SEN S/N: 21504856)","Intensity, Lux (LGR S/N: 21504856, SEN S/N: 21504856)","Coupler Attached (LGR S/N: 21504856)","Host Connected (LGR S/N: 21504856)","Stopped (LGR S/N: 21504856)","End Of File (LGR S/N: 21504856)"
1,10/01/22,00:00:00.0,10.944,0.0,,,,
2,10/01/22,00:05:00.0,10.846,0.0,,,,
3,10/01/22,00:10:00.0,10.944,0.0,,,,
4,10/01/22,00:15:00.0,10.944,0.0,,,,
5,10/01/22,00:20:00.0,10.944,0.0,,,,
6,10/01/22,00:25:00.0,11.041,0.0,,,,
7,10/01/22,00:30:00.0,11.041,0.0,,,,
8,10/01/22,00:35:00.0,11.041,0.0,,,,
9,10/01/22,00:40:00.0,10.944,0.0,,,,
10,10/01/22,00:45:00.0,10.944,0.0,,,,
11,10/01/22,00:50:00.0,10.846,0.0,,,,
12,10/01/22,00:55:00.0,10.748,0.0,,,,
13,10/01/22,01:00:00.0,10.553,0.0,,,,
14,10/01/22,01:05:00.0,10.357,0.0,,,,
15,10/01/22,01:10:00.0,10.259,0.0,,,,
16,10/01/22,01:15:00.0,10.161,0.0,,,,
17,10/01/22,01:20:00.0,10.063,0.0,,,,
18,10/01/22,01:25:00.0,10.063,0.0,,,,
19,10/01/22,01:30:00.0,10.063,0.0,,,,
20,10/01/22,01:35:00.0,10.063,0.0,,,,
21,10/01/22,01:40:00.0,9.965,0.0,,,,
22,10/01/22,01:45:00.0,9.965,0.0,,,,
23,10/01/22,01:50:00.0,9.965,0.0,,,,
24,10/01/22,01:55:00.0,9.965,0.0,,,,
25,10/01/22,02:00:00.0,9.965,0.0,,,,
26,10/01/22,02:05:00.0,9.965,0.0,,,,
27,10/01/22,02:10:00.0,10.063,0.0,,,,
28,10/01/22,02:15:00.0,10.063,0.0,,,,
29,10/01/22,02:20:00.0,10.063,0.0,,,,
30,10/01/22,02:25:00.0,10.063,0.0,,,,
31,10/01/22,02:30:00.0,10.063,0.0,,,,
32,10/01/22,02:35:00.0,9.866,0.0,,,,
33,10/01/22,02:40:00.0,9.669,0.0,,,,
34,10/01/22,02:45:00.0,9.571,0.0,,,,
35,10/01/22,02:50:00.0,9.373,0.0,,,,
36,10/01/22,02:55:00.0,9.373,0.0,,,,
37,10/01/22,03:00:00.0,9.373,0.0,,,,
38,10/01/22,03:05:00.0,9.275,0.0,,,,
39,10/01/22,03:10:00.0,9.275,0.0,,,,
40,10/01/22,03:15:00.0,9.176,0.0,,,,
41,10/01/22,03:20:00.0,9.176,0.0,,,,
42,10/01/22,03:25:00.0,9.275,0.0,,,,
43,10/01/22,03:30:00.0,9.373,0.0,,,,
44,10/01/22,03:35:00.0,9.373,0.0,,,,
45,10/01/22,03:40:00.0,9.373,0.0,,,,
46,10/01/22,03:45:00.0,9.373,0.0,,,,
47,10/01/22,03:50:00.0,9.373,0.0,,,,
48,10/01/22,03:55:00.0,9.373,0.0,,,,
49,10/01/22,04:00:00.0,9.373,0.0,,,,
50,10/01/22,04:05:00.0,9.275,0.0,,,,
51,10/01/22,04:10:00.0,9.275,0.0,,,,
52,10/01/22,04:15:00.0,9.176,0.0,,,,
53,10/01/22,04:20:00.0,9.077,0.0,,,,
54,10/01/22,04:25:00.0,9.077,0.0,,,,
55,10/01/22,04:30:00.0,9.077,0.0,,,,
56,10/01/22,04:35:00.0,9.077,0.0,,,,
57,10/01/22,04:40:00.0,8.978,0.0,,,,
58,10/01/22,04:45:00.0,8.978,0.0,,,,
59,10/01/22,04:50:00.0,8.978,0.0,,,,
60,10/01/22,04:55:00.0,8.978,0.0,,,,
61,10/01/22,05:00:00.0,8.978,0.0,,,,
62,10/01/22,05:05:00.0,8.978,0.0,,,,
63,10/01/22,05:10:00.0,9.077,0.0,,,,
64,10/01/22,05:15:00.0,9.077,0.0,,,,
65,10/01/22,05:20:00.0,9.077,0.0,,,,
66,10/01/22,05:25:00.0,9.077,0.0,,,,
67,10/01/22,05:30:00.0,9.077,0.0,,,,
68,10/01/22,05:35:00.0,9.176,0.0,,,,
69,10/01/22,05:40:00.0,9.176,0.0,,,,
70,10/01/22,05:45:00.0,9.176,0.0,,,,
71,10/01/22,05:50:00.0,9.176,0.0,,,,
72,10/01/22,05:55:00.0,9.176,0.0,,,,
73,10/01/22,06:00:00.0,9.176,0.0,,,,
74,10/01/22,06:05:00.0,9.176,0.0,,,,
75,10/01/22,06:10:00.0,9.176,0.0,,,,
76,10/01/22,06:15:00.0,9.176,0.0,,,,
77,10/01/22,06:20:00.0,9.176,0.0,,,,
78,10/01/22,06:25:00.0,9.077,0.0,,,,
79,10/01/22,06:30:00.0,9.077,0.0,,,,
80,10/01/22,06:35:00.0,9.176,0.0,,,,
81,10/01/22,06:40:00.0,9.077,0.0,,,,
82,10/01/22,06:45:00.0,9.077,0.0,,,,
83,10/01/22,06:50:00.0,9.077,0.0,,,,
84,10/01/22,06:55:00.0,9.077,0.0,,,,
85,10/01/22,07:00:00.0,9.077,0.0,,,,
86,10/01/22,07:05:00.0,8.978,0.0,,,,
87,10/01/22,07:10:00.0,8.978,10.8,,,,
88,10/01/22,07:15:00.0,8.978,21.5,,,,
89,10/01/22,07:20:00.0,8.978,32.3,,,,
90,10/01/22,07:25:00.0,8.978,53.8,,,,
91,10/01/22,07:30:00.0,9.077,86.1,,,,
92,10/01/22,07:35:00.0,9.077,118.4,,,,
